,text
263,Where?
264,Ok
265,what can you do?
266,You are cute Bailey
267,Round on you Bailey?
268,Why do you not know?
269,Tell me a story
270,What is the weather
271,I am not Padawan 
272,Yes?
273,"Looks like a
Donkey "
274,how can I upload a video
275,how many NFL teams?
276,what do you know
277,hell
278,Who is Leo?
279,Hi how are?
280,What's your phone?
281,What is the most popular channel on Dailymotion?
282,How much did I earn this month
283,Why am i sad?
284,What's Eric's middlename?
285,Who is your maker?
286,I don't know either dude.
287,What's coming?
288,Sweet dreams
289,Good night
290,Greetings
291,What's the time
292,Good morning
293,Sleep tight
294,Hey
295,Who made you
296,Was Deckard a replicant?
297,Open the pod bay doors.
298,Morning
299,Hallo
300,/edit
301,How old are your friends Baily?
302,How many days are between june 1 2016 and august 1 2016
303,How hot is it?
304,How much revenue did I earn from video monetization?
305,Are you smart?
306,Where am I? 
307,:P
308,:)
309,;)
310,)(
311,Hey+lol
312,Hey lol
313,Your name damn it
314,How are you today?
315,Good
316,what's up dude?
317,Who am ui?
318,how many
319,Who is Sam?
320,Tell me your name
321,lol
322,hehe
323,Channel performance
324,hay
325,sweet
326,hi dude
327,howdy
328,How am I getting paid?
329,How many video views have I made
330,What is my access token?
331,what is my revenue?
332,How much did I earn from my videos on my website between last June and this June Baily?
333,On what date are revenues paid out?
334,When will my payment be sent?
335,When will my next statement be sent?
336,When will my statement be paid?
337,what is my revenue baily?
338,How much revenue did I make?
339,How much revenue have I earned?
340,How much revenue have I earned
341,"^$é&$'^bé""$^r$q^ffé '""é( ''""(""&'' // # 123"
342,How much wood could a woodchuck chuck if a woodchuck could chuck wood
343,What's the forecast Baily?
344,How hot is it outside?
345,Hi! 
346,I am fine thanks 
347,Looks like I don't yet know the answer to this
348,Do I need an umbrella?
349,What is my most seen video?
350,Which one of my videos has been seen most?
351,Which of my videos has most views?
352,What's the temperature in celcius baily?
353,How do I get a Verified Badge?
354,What is your revenue share conditions
355,When do i get paid?
356,How do I validate my website
357,What is Dailymotion?
358,Is autoplay allowed with DM player?
359,I don't have any ad impression on my videos?
360,What is a syndication key?
361,You don't know shit.
362,How can I make more views
363,Why is my revenue down these past months?
364,Why am I not generating any website revenue?
365,Where can I find my invoices?
366,"Doing well, how are you?"
367,"Doing well, how are you"
368,cool!
369,Can i take a boat from albany to new york city?
370,What is the meaning of life?
371,What color is the dailymotion logo?
372,you speak french Baily?
373,what language do you speak?
374,Are you sure you don't like Sam?
375,Why is Sam Delesque so goddamn cool?
376,What is an MCN?
377,How much revenue has my network made over the last month?
378,Will I earn more money on Dailymotion or Youtube?
379,Who is the most popular Dailymotion partner?
380,Where is the Dailymotion office?
381,When is my next statement paid?
382,hihi
383,haha
384,Can I drive without driver licence?
385,Can I drive a car without licence?
386,Can I drive a car without licence
387,Is Dailymotion better than Youtube?
388,At what number can I reach you?
389,What is your phone number?
390,Do you really want to know?
391,What is your favorite video?
392,nice
393,How much will I be paid next?
394,How much do I need to earn to get paid?
395,Who are you?
396,Can you help me
397,How many videos on my account
398,How many people have viewed my videos?
399,That's fun
400,Are you kidding me?
401,Merci
402,Danke
403,Why is Devin wearing a cap?
404,How old is my account ?
405,Tell me the story behind Dailymotion?
406,When did I create my account?
407,Round on you?
408,Do you like tacos?
409,Do you like pizza
410,What's for lunch?
411,Interesting
412,What's going on
413,What're you up to
414,"That's helpful, thank you so much!"
415,Indeed
416,Do you know the answer to this?
417,What is Sam working on
418,Any tips on loosing fat Baily?
419,But where were you born?
420,Where can I contact customer assistance
421,What's your favorite food?
422,What should we get for lunch?
423,What's your favorite spot in town?
424,Hey there
425,Woauh
426,woohoo
427,Dope
428,$
429,Who is Andy?
430,Who is Arjune?
431,Who is Benoit
432,I want a burrito
433,What's your story?
434,Yay
435,Why are you here?
436,Where can I talk to you?
437,What is my greatest revenue?
438,What's for breakfast?
439,Whats your name man
440,Show me a funny gif
441,What's my firstname?
442,Who is Trisha?
443,What is the date
444,?admin
445,What is tomorrow
446,testing
447,Test test
448,Sweet dreams Baily
449,Revenue please
450,$$
451,$$$
452,Show me my revenue
453,Gifs forever
454,Gifs
455,Gif
456,Lol forever
457,Laugh out loud
458,Give me a sea of gifs
459,Show me many gifs
460,I want more gifs
461,Meow
462,Woof
463,Bark
464,What's your favorite gifs of all times?
465,Miauw
466,What's your favorite emoji?
467,Miaw
468,Maw
469,Maww
470,Maw maw
471,Mawww
472,Miaww
473,Meow meow
474,You got any suggestions for lunch?
475,Motherfucker
476,What is the difference between Youtube and Dailymotion?
477,Can you text my mum?
478,Will you go out with me?
479,Where is Dailymotion?
480,Give me gif
481,I'll destroy you
482,What kinda things can you help me with?
483,What is your favorite questions to answer?
484,How do I get home?
485,Show me $$$
486,Show me boobs
487,$$$$$
488,How's it going
489,$$$$
490,Where is my data stored?
491,What data do you collect?
492,Good to hear
493,Are you creeping on me?
494,Are you a creep?
495,Hiya there
496,Hiya 
497,What do you mean you don't know?
498,Whatcha doing
499,Hi ya
500,How do I get to Statue of Liberty?
501,What is a car?
502,#ecid
503,I am hungry
504,What is knowledge?
505,What are we having for lunch?
506,When is the next PS team lunch
507,No
508,Poor you!
509,Nope
510,Nah
511,No way
512,What is the temperature in celcius?
513,Temperature in celcius?
514,How many degrees C?
515,Funny gif for me
516,Dance Baily!
517,Stupid robot
518,Dance
519,Are you intelligent?
520,Bitch
521,Are you a terminator?
522,Are you human?
523,Are you an AI?
524,Who came up with this ridiculous name for you?
525, 
526,Am I a partner?
527,What is a content manager?
528,Are you a bot?
529,Say something
530,Who is your father
531,👎
532,😿
533,Where's Charlie?
534,😃
535,😸
536,👍
537,Where is the team lunch?
538,When is the next PS team lunch?
539,When is team lunch
540,"Would you rather drink orange juice, expecting it to be milk, or drink milk expecting it to be orange juice?"
541,Do you know Watson?
